Tolleranza,Errore Simpson,Errore Newton Cotes
0.01,0.000293528025694267,2.30517976307354e-06
0.001,0.000457223923412076,1.06536072985719e-06
0.0001,2.63547596148772e-05,9.85260983910052e-10
1e-05,2.34481367633599e-06,3.10416783566581e-06
1e-06,3.00762625249362e-07,3.69732803262579e-08
1e-07,3.65647581102024e-08,2.28150845993369e-08
1e-08,3.21109860923485e-09,2.13358331002667e-09
1e-09,3.09839820467062e-10,1.49663392789989e-10
